quant,tempo,inicial_vetor
1000,6.818771362304688e-05,ordenado
1000,0.1178126335144043,invertido_ordenado
1000,0.09559392929077148,aleatorio
2000,0.0001392364501953125,ordenado
2000,0.47754788398742676,invertido_ordenado
2000,0.374847412109375,aleatorio
3000,0.00021839141845703125,ordenado
3000,1.184441089630127,invertido_ordenado
3000,1.0267236232757568,aleatorio
4000,0.0002903938293457031,ordenado
4000,2.141932249069214,invertido_ordenado
4000,1.7658393383026123,aleatorio
5000,0.00033545494079589844,ordenado
5000,3.2496917247772217,invertido_ordenado
5000,2.8479394912719727,aleatorio
6000,0.00042366981506347656,ordenado
6000,4.726098537445068,invertido_ordenado
6000,3.7487640380859375,aleatorio
7000,0.0005545616149902344,ordenado
7000,6.576484680175781,invertido_ordenado
7000,4.965265512466431,aleatorio
8000,0.0005741119384765625,ordenado
8000,8.685513973236084,invertido_ordenado
8000,6.606127738952637,aleatorio
9000,0.0007407665252685547,ordenado
9000,10.416181802749634,invertido_ordenado
9000,8.5835120677948,aleatorio
10000,0.0009276866912841797,ordenado
10000,13.205586910247803,invertido_ordenado
10000,10.230592489242554,aleatorio
20000,0.0018181800842285156,ordenado
20000,52.348756074905396,invertido_ordenado
20000,43.31865930557251,aleatorio
50000,0.0033309459686279297,ordenado
50000,335.59033036231995,invertido_ordenado
50000,296.148295879364,aleatorio
100000,0.012741804122924805,ordenado
100000,1378.0769393444061,invertido_ordenado
100000,1213.2584555149078,aleatorio
